,Transaction ID,Item,Quantity,Price Per Unit,Total Spent,Payment Method,Location,Transaction Date
0,TXN_1000555,Tea,1,1.5,1.5,Credit Card,In-store,2023-10-19
1,TXN_1002457,Cookie,5,1.0,5.0,Digital Wallet,Takeaway,2023-09-29
2,TXN_1004184,Smoothie,1,4.0,4.0,Credit Card,In-store,2023-05-18
3,TXN_1004563,Tea,5,1.5,7.5,Credit Card,In-store,2023-10-28
4,TXN_1005331,Coffee,1,2.0,2.0,Digital Wallet,Takeaway,2023-11-04
5,TXN_1006942,Salad,1,5.0,5.0,Credit Card,In-store,2023-11-30
6,TXN_1007347,Salad,4,5.0,20.0,Digital Wallet,In-store,2023-08-28
7,TXN_1009421,Cookie,4,1.0,4.0,Cash,Takeaway,2023-02-21
8,TXN_1011236,Cake,1,3.0,3.0,Cash,In-store,2023-02-08
9,TXN_1015883,Cookie,4,1.0,4.0,Cash,In-store,2023-10-16
10,TXN_1020478,Coffee,1,2.0,2.0,Digital Wallet,Takeaway,2023-03-09
11,TXN_1022523,Salad,4,5.0,20.0,Cash,In-store,2023-11-25
12,TXN_1026827,Cookie,4,1.0,4.0,Digital Wallet,In-store,2023-01-02
13,TXN_1035504,Smoothie,2,4.0,8.0,Digital Wallet,Takeaway,2023-03-30
14,TXN_1040764,Coffee,3,2.0,6.0,Cash,Takeaway,2023-07-27
15,TXN_1045022,Sandwich,4,4.0,16.0,Credit Card,Takeaway,2023-10-13
16,TXN_1046394,Smoothie,1,4.0,4.0,Cash,In-store,2023-04-29
17,TXN_1047450,Coffee,2,2.0,4.0,Cash,In-store,2023-11-19
18,TXN_1048284,Salad,2,5.0,10.0,Cash,In-store,2023-08-19
19,TXN_1050083,Cake,5,3.0,15.0,Credit Card,Takeaway,2023-06-28
20,TXN_1057760,Juice,4,3.0,12.0,Credit Card,Takeaway,2023-02-20
21,TXN_1058466,Cookie,3,1.0,3.0,Digital Wallet,Takeaway,2023-12-07
22,TXN_1058957,Juice,2,3.0,6.0,Cash,In-store,2023-03-21
23,TXN_1064565,Juice,4,3.0,12.0,Digital Wallet,In-store,2023-03-14
24,TXN_1065721,Sandwich,4,4.0,16.0,Cash,Takeaway,2023-12-06
